Empresa;Situação;Dt. emissão;Dt. saída/entrada;Esp.;Nota fiscal;série;Cd. pessoa;Nome pessoa;CFOP;Vl. contábil;Aliq. ICMS;Vl. base ICMS;Vl. ICMS;Vl. isento ICMS;Vl. outro ICMS;Vl. IPI; Vl. ICMS ST;Vl. PIS;Vl. COFINS;Vl. FCP;Vl. FCP ST; Chave acesso
11;Emitida;08/10/2020;08/10/2020;NFe;3031;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;98,43;0;0;0;0;98,43;0;0;0;0;0;0;35201006209148000206550060000030311269449131
11;Emitida;22/10/2020;22/10/2020;NFe;3373;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;915,04;0;0;0;0;915,04;0;0;0;0;0;0;35201006209148000206550060000033731150455351
11;Emitida;02/10/2020;02/10/2020;NFe;2839;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;246,21;0;0;0;0;246,21;0;0;0;0;0;0;35201006209148000206550060000028391784038941
11;Emitida;30/10/2020;30/10/2020;NFe;3592;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;1502,77;0;0;0;0;1502,77;0;0;0;0;0;0;35201006209148000206550060000035921987532830
11;Emitida;13/10/2020;13/10/2020;NFe;3071;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;217,54;0;0;0;0;217,54;0;0;0;0;0;0;35201006209148000206550060000030711828574841
11;Emitida;02/10/2020;02/10/2020;NFe;2834;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;256,04;0;0;0;0;256,04;0;0;0;0;0;0;35201006209148000206550060000028341424079097
11;Emitida;07/10/2020;07/10/2020;NFe;2973;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;98,9;0;0;0;0;98,9;0;0;0;0;0;0;35201006209148000206550060000029731336326185
11;Emitida;26/11/2020;26/11/2020;NFe;4384;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;79246,8;0;0;0;0;79246,8;0;0;0;0;0;0;35201106209148000206550060000043841105279614
11;Emitida;10/11/2020;10/11/2020;NFe;3870;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;18,6;0;0;0;0;18,6;0;0;0;0;0;0;35201106209148000206550060000038701388742857
11;Emitida;06/11/2020;06/11/2020;NFe;3808;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;58786,04;0;0;0;0;58786,04;0;0;0;0;0;0;35201106209148000206550060000038081511704710
11;Emitida;14/12/2020;14/12/2020;NFe;4916;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;4322,82;0;0;0;0;4322,82;0;0;0;0;0;0;35201206209148000206550060000049161109355826
11;Emitida;14/12/2020;14/12/2020;NFe;4918;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;188,89;0;0;0;0;188,89;0;0;0;0;0;0;35201206209148000206550060000049181435585710
11;Emitida;14/12/2020;14/12/2020;NFe;4912;6;110000001;KAZZO CONFECCOES E COMERCIO DE ARTIGOS DO VESTUARIO LTDA;6902;49,9;0;0;0;0;49,9;0;0;0;0;0;0;35201206209148000206550060000049121230627468
